﻿11.03.2013
0004645,4*16-A
0004646,防脱塞
0004647,6*16
0004648,M6螺母
0004649,下垫
0004650,上垫
0004651,6*30
0004653,减震弹簧
0004654,5*25-B
0004654,5*25-B
0004655,制动盘
0004656,Q5 弹垫
0004657,5*8
0004658,制动轮
0004659,5*30
0004660,拉簧
0004661,制动绞索
0004662,压线帽
0004663,电源线
0004664,小连接管
0004666,排水泵
0004667,排水管
0004668,上排水管卡
0004669,大连接管
0004670,4*12-B
0004671,阀垫
0004672,阀片
0004673,轴承座内衬
0004674,轴承座
0004675,Q6 齿型垫
0004676,波轮垫片
0004677,波轮螺钉
0004678,4*12-A
0004679,后盖板
0004682,压盖
0004683,安全盖
0004684,制动拉带
0004685,4*16-B
0004686,螺钉帽
0004687,突跳弹簧
0004688,注意标贴
0004689,拉带套管
0004690,排水拉带
0004691,安装板
0004692,洗涤侧进水管
0004693,保修卡
0004695,包装袋
0004695,防护袋，说明书袋
0004698,说明书
0004699,说明书
0004700,铭牌
0004703,M5 垫片
0004704,M5 螺母
0004705,轴体
0004706,滤盖
0004707,线屑过滤盒（外盒）
0004708,线屑过滤盒（内盒）
0004709,三通组件
0004710,滑槽
0004711,锁块
0004713,洗涤盖板
0004714,脱水盖板
0004715,控制盘
0004716,脱水盖板
0004717,洗涤盖板
0004718,控制盘
0004719,散热皮带轮
0004720,三角带
0004721,电容
0004722,排水阀
0004723,皮带轮
0004724,波轮
0004725,溢水过滤板
0004727,出水嘴
0004728,旋钮
0004729,铭牌
0004729,名牌
0004731,减震角
0004732,脱水盖板
0004733,洗涤盖板
0004734,控制盘
0004735,脱水盖板
0004736,洗涤盖板
0004737,控制盘
0004738,外溢水管
0004739,排水泵底板
0004741,波轮盖
0004742,内溢水管
0004743,水位调节柄
0004744,摇架
0004745,脱水侧进水管
0004746,散热皮带轮
0004747,三角带
0004748,电容
0004749,排水阀
0004750,减速器
0004751,波轮
0004752,溢水过滤板
0004753,线屑过滤器
0004755,出水嘴
0004756,旋钮
0004758,说明书
0004759,说明书
0004761,洗涤定时器
0004762,脱水定时器
0004763,选择开关
0004764,脱水电机
0004765,洗涤电机
0004766,洗涤电机
0004801,上排水接口
0004803,定型干
0004977,保修卡
0005117,铭牌
0005118,制动拉带
0005119,脱水定时器
0005121,洗涤定时器
0005384,进水管
0005459,密封条
0005746,突跳弹簧
0005747,排水管卡
0005784,排水拉带
0005971,脱水电机
0005972,外溢水管
0005973,波轮
0005974,后盖板
0005976,铭牌
0005977,水位调节柄
0005978,溢水过滤板
0005980,大框
0005981,安全盖
0005982,脱水盖板
0005983,洗涤盖板
0005984,排水拉带
0005985,排水拉带
0005986,选择开关
0005987,脱水定时器
0005988,脱水侧内进水管
0005989,三通组件
0005990,压板
0005991,锁块
0005992,排水拉带导环
0005993,控制盘
0005994,旋钮
0005995,说明书
0005996,说明书
0005997,脱水盖板
0005998,洗涤盖板
0005999,控制盘
0006000,铭牌
0006001,制动拉带
0006015,定型杆
0006017,压盖
0006276,胶水
0006478,脱水桶平衡环
0006479,轴盘
0006480,轴盘
0006614,底座8+线夹1+装饰盖内螺钉1
0006615,定时器罩螺丝
0006616,控制盘螺丝
0006617,波轮螺丝
0006618,花垫圈
0006619,排水口盖（流水板）
0006620,风叶轮螺丝
0006621,风叶轮螺母
0006622,洗涤电机螺丝
0006623,电机螺丝平垫
0006624,接线盒
0006625,线夹
0006626,塑料袋
0006627,接线帽
0006628,电源线固定螺丝
0006629,进水管
0006630,自封袋
0006631,保险丝
0006632,保修卡
0006633,旋钮
0006634,253控制盘
0006635,定时器罩
0006636,
0006637,波轮
0006638,减速器和胶垫
0006639,角盖
0006641,选择开关
0006642,滤网
0006643,水位插板
0006644,堵头
0006645,排水管
0006646,皮带轮
0006647,风叶轮
0006648,洗涤电机
0006649,电机下垫
0006650,皮带轮螺丝
0006651,皮带轮螺母
0006652,皮带
0006653,电源线
0006654,接地线螺丝
0006655,接地线垫片
0006656,后盖板
0006657,电容
0006658,提手
0006659,251后铭牌
0006660,253后铭牌
0006661,1.8泡棉
0006662,251说明书
0006663,253说明书
0006664,整机袋子
0006665,2.5泡棉
0006666,扎带
0006667,皮带轮弹垫
0006668,Φ18*8.6波轮不锈钢垫片
0006669,251洗涤盖板组合
0006670,253洗涤盖板组合
0006671,旋钮
0006672,356控制盘
0006673,定时器罩
0006674,洗涤定时器
0006675,选择开关
0006676,大桶螺丝
0006677,脱水定时器
0006678,排水拉带
0006679,刹车拉带
0006680,脱水桶圈
0006681,波轮
0006682,减速器和胶垫
0006683,角盖
0006684,止回阀
0006685,皮带轮
0006686,皮带轮螺丝
0006687,皮带轮用方螺母
0006688,皮带E-A650
0006689,皮带轮弹垫
0006690,皮碗
0006691,皮碗卡圈
0006692,三通组合
0006693,排水管
0006694,连接轴用螺杆
0006695,连接轴用螺母
0006696,连接轴
0006697,风叶轮
0006698,洗涤电机垫圈
0006699,电机上垫
0006700,洗涤电机
0006701,接地线
0006702,接地螺钉
0006703,电机下垫
0006704,刹车盘螺钉
0006705,刹车盘
0006706,脱水电机上螺钉
0006707,脱水电机
0006708,接地线
0006709,减震弹簧
0006710,后盖板
0006711,电容6+4UF
0006713,电源线
0006714,减震弹簧 用螺钉
0006715,脱水帽
0006716,水泵
0006717,连接管
0006718,351说明书
0006719,356说明书
0006720,整机袋子
0006721,注水口盖
0006722,洗涤盖板用弹簧
0006723,脱水盖板用弹簧
0006724,进水软管
0006725,装饰盖
0006726,351后铭牌
0006727,356后铭牌
0006728,不锈钢垫片
0006729,1.5泡棉
0006730,扎带
0006731,三角法兰
0006732,排水托架
0006733,排水泵螺丝
0006734,水泵黑色线90CM
0006735,351洗涤盖板组合
0006736,356洗涤盖板组合
0006761,351控制盘
0006762,251控制盘
0006906,胶水
0006961,251洗涤盖板
0006962,253洗涤盖板
0006963,盖板上的挖手
0006964,挖手处不锈钢螺丝
0006965,上框
0006966,351洗涤盖板
0006968,351脱水盖板
0006969,356脱水盖板
0006970,内小活动盖
0006999,水位调节柄
0007001,滤波电容
0007004,扎丝
0007005,注水口+脱水连接管
0007006,连接轴，衬套
0007008,4*12-B 沉头
0007009,脱水桶平衡环
0007047,洗涤定时器
0007113,脱水桶
0007127,
0007128,
0007129,
0007130,
0007131,
0007132,
0007299,351上框
0007406,制动绞索
0007869,排水拉带
0007968,连接轴内衬
0007968,连接轴内衬
0008541,水泵棕色线90CM
0008644,排水管
0009893,风叶轮螺丝
0009894,排水口盖不锈钢螺钉
0010074,连接轴螺丝
0010345,皮带轮螺丝平垫M5
